fabricante	Marca	Algoritmo Marca Propia	Est Mer 6 Descripcion	EST_MER_6_CODIGO	Est Mer 7 Descripcion	Est Mer Codigo	Imp venta últ 24 meses	Qtd Sku	
ELI LILLY	MOUNJARO ELI	NAO E MARCA PROPIA	A10S AGONISTAS GLP 1	.3.12.2.10.10	A10S AGONISTAS GLP 1	.3.12.2.10.10.1	7.848.405.715	8	a
NOVO NORDISK	WEGOVY NND	NAO E MARCA PROPIA	A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1	A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1.1	3.847.449.793	5	a
ASTRAZENECA	FORXIGA AZN	NAO E MARCA PROPIA	A10P INIBIDORES DE ANTIDIABETICOS DE SGLT2	.3.12.2.10.9	A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES	.3.12.2.10.9.1	1.729.223.148	7	a
NOVO NORDISK	OZEMPIC NND	NAO E MARCA PROPIA	A10S AGONISTAS GLP 1	.3.12.2.10.10	A10S AGONISTAS GLP 1	.3.12.2.10.10.1	1.482.541.806	2	a
MERCK	GLIFAGE MER	NAO E MARCA PROPIA	A10J BIGUANIDA A DIABETICOS	.3.12.2.10.4	A10J1 BIGUANIDA SOLA A DIABETICOS	.3.12.2.10.4.1	1.148.376.662	8	a
NOVO NORDISK	RYBELSUS NND	NAO E MARCA PROPIA	A10S AGONISTAS GLP 1	.3.12.2.10.10	A10S AGONISTAS GLP 1	.3.12.2.10.10.1	1.023.356.773	3	a
ASTRAZENECA	XIGDUO AZN	NAO E MARCA PROPIA	A10P INIBIDORES DE ANTIDIABETICOS DE SGLT2	.3.12.2.10.9	A10P3 INIBIDOR SGLT2 ANTIDIABETICOS COM BIGUANIDAS	.3.12.2.10.9.2	617.383.030	4	a
BOEHRINGER INGELHEIM	JARDIANCE BOE	NAO E MARCA PROPIA	A10P INIBIDORES DE ANTIDIABETICOS DE SGLT2	.3.12.2.10.9	A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES	.3.12.2.10.9.1	592.441.030	2	a
BOEHRINGER INGELHEIM	GLYXAMBI BOE	NAO E MARCA PROPIA	A10P INIBIDORES DE ANTIDIABETICOS DE SGLT2	.3.12.2.10.9	A10P5 INIBIDORES DA SGLT2 E INIBIDORES DA DPP IV ASSOCIA	.3.12.2.10.9.3	571.804.517	3	a
NOVO NORDISK	POVIZTRA NND	NAO E MARCA PROPIA	A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1	A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1.1	532.101.395	5	a
TAKEDA PHARMA	DEXILANT TKD	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	521.741.391	4	a
TAKEDA PHARMA	INZELM TKD	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	499.389.432	4	a
OPELLA	ENTEROGERMINA (OPE)	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	444.890.462	6	a
HALEON	ENO HAL	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A4 ANTIACIDOS COM ANTIFISETICOS	.3.12.2.2.1.3	428.581.055	38	a
HYPERA PHARMA	BUSCOPAN HYP	NAO E MARCA PROPIA	A03D ASSOCIACOES COM ANALGESICOS	.3.12.2.3.2	A03D ASSOCIACOES COM ANALGESICOS	.3.12.2.3.2.1	346.203.877	10	a
ACHE LABORATORIOS FARMACEUTICOS SA	EDISTRIDE ACH	NAO E MARCA PROPIA	A10P INIBIDORES DE ANTIDIABETICOS DE SGLT2	.3.12.2.10.9	A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES	.3.12.2.10.9.1	300.234.341	4	a
RB	LUFTAL RB	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A2 ANTIFISETICOS PUROS	.3.12.2.2.1.2	286.166.010	16	a
PRATI DONADUZZI	CLOR DE METFORMINA PRD	NAO E MARCA PROPIA	A10J BIGUANIDA A DIABETICOS	.3.12.2.10.4	A10J1 BIGUANIDA SOLA A DIABETICOS	.3.12.2.10.4.1	231.651.123	7	a
HYPERA PHARMA	NESINA HYP	NAO E MARCA PROPIA	A10N INIBIDOR DPP IV	.3.12.2.10.8	A10N1 INIBIDOR DPP IV SOLO	.3.12.2.10.8.1	229.592.657	11	a
BIOLAB	VONAU BIO	NAO E MARCA PROPIA	A04A ANTIEMETICOS E ANTINAUSEOSOS	.3.12.2.4.1	A04A1 ANTAGONISTAS DA SEROTONINA	.3.12.2.4.1.1	228.088.134	8	a
HYPERA PHARMA	DRAMIN HYP	NAO E MARCA PROPIA	A04A ANTIEMETICOS E ANTINAUSEOSOS	.3.12.2.4.1	A04A9 OUTROS ANTIEMETICOS E ANTINAUSEA	.3.12.2.4.1.3	218.637.030	15	a
HYPERA PHARMA	EPOCLER HYP	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	210.363.424	15	a
EMS PHARMA	OZIVY EMS	NAO E MARCA PROPIA	A10S AGONISTAS GLP 1	.3.12.2.10.10	A10S AGONISTAS GLP 1	.3.12.2.10.10.1	205.109.326	3	a
EMS PHARMA	REPOFLOR LEG	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	203.973.040	8	a
HYPERA PHARMA	TAMARINE HYP	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A2 LAXANTES ESTIMULANTES	.3.12.2.6.1.2	190.361.801	10	a
NOVO NORDISK	XULTOPHY NND	NAO E MARCA PROPIA	A10C INSULINAS HUMANAS E ANALOGAS	.3.12.2.10.1	A10C9 OUTRAS INSULINAS HUMANAS E ANÃLOGOS	.3.12.2.10.1.5	186.633.706	1	a
SANOFI FARMACEUTICA	LANTUS SNF	NAO E MARCA PROPIA	A10C INSULINAS HUMANAS E ANALOGAS	.3.12.2.10.1	A10C5 INSULINAS HUMANAS+ANALOGAS ACAO PROLONGADA	.3.12.2.10.1.4	186.629.312	3	a
NOVO NORDISK	TRESIBA NND	NAO E MARCA PROPIA	A10C INSULINAS HUMANAS E ANALOGAS	.3.12.2.10.1	A10C5 INSULINAS HUMANAS+ANALOGAS ACAO PROLONGADA	.3.12.2.10.1.4	185.025.775	4	a
FARMOQUIMICA	FLORATIL FRQ	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	180.805.164	8	a
EMS PHARMA	DAPAGLIFLOZINA EMS	NAO E MARCA PROPIA	A10P INIBIDORES DE ANTIDIABETICOS DE SGLT2	.3.12.2.10.9	A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES	.3.12.2.10.9.1	176.261.680	2	a
APSEN	INILOK APS	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	174.797.203	3	a
MEDQUIMICA	DAPAGLIFLOZINA MDQ	NAO E MARCA PROPIA	A10P INIBIDORES DE ANTIDIABETICOS DE SGLT2	.3.12.2.10.9	A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES	.3.12.2.10.9.1	169.063.231	1	a
HYPERA PHARMA	NESINA HYP	NAO E MARCA PROPIA	A10N INIBIDOR DPP IV	.3.12.2.10.8	A10N9 INIB DPP IV E OUT COMB A DIABETICOS	.3.12.2.10.8.3	164.835.588	2	a
P&G	CITONEURIN P&G	NAO E MARCA PROPIA	A11D VITAMINA B1 E ASSOCIACOES	.3.12.2.11.4	A11D4 VITAMINA B1 ASSOC VIT B6 OU B12	.3.12.2.11.4.2	163.743.599	6	a
ELI LILLY	BASAGLAR ELI	NAO E MARCA PROPIA	A10C INSULINAS HUMANAS E ANALOGAS	.3.12.2.10.1	A10C5 INSULINAS HUMANAS+ANALOGAS ACAO PROLONGADA	.3.12.2.10.1.4	161.134.053	3	a
NOVO NORDISK	SAXENDA NND	NAO E MARCA PROPIA	A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1	A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1.1	157.814.651	1	a
MERCK	CONTRAVE MER	NAO E MARCA PROPIA	A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1	A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1.1	150.221.032	1	a
MEDLEY	DAPAGLIFLOZINA MED	NAO E MARCA PROPIA	A10P INIBIDORES DE ANTIDIABETICOS DE SGLT2	.3.12.2.10.9	A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES	.3.12.2.10.9.1	144.504.510	1	a
EMS PHARMA	ESOMEPRAZOL EMS	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	143.424.762	4	a
EUROFARMA	DAPAGLIFLOZINA EUR	NAO E MARCA PROPIA	A10P INIBIDORES DE ANTIDIABETICOS DE SGLT2	.3.12.2.10.9	A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES	.3.12.2.10.9.1	142.526.946	1	a
SANOFI FARMACEUTICA	PANTOPRAZOL SNF	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B1 ANTAGONISTAS H2	.3.12.2.2.2.1	141.213.230	2	a
LIBBS FARMACEUTICA	STANGLIT LIB	NAO E MARCA PROPIA	A10K GLITAZONA A DIABETICOS	.3.12.2.10.5	A10K1 GLITAZONA SOLA	.3.12.2.10.5.1	135.287.340	5	a
EMS PHARMA	ESOGASTRO EMS	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	135.259.698	2	a
UNIAO QUIMICA	XANTINON UNI	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	129.368.240	24	a
EMS PHARMA	ORLISTATE EMS	NAO E MARCA PROPIA	A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1	A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1.1	125.525.942	2	a
EMS PHARMA	SUCRAFILM EMS	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B9 TODOS OS OUTROS ANTIULCEROSOS	.3.12.2.2.2.4	122.973.797	3	a
SERVIER	DIAMICRON SER	NAO E MARCA PROPIA	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3.1	121.478.924	4	a
ALTHAIA	CLOR DE ONDANSETRONA ALT	NAO E MARCA PROPIA	A04A ANTIEMETICOS E ANTINAUSEOSOS	.3.12.2.4.1	A04A1 ANTAGONISTAS DA SEROTONINA	.3.12.2.4.1.1	121.042.464	4	a
RANBAXY	ESOMEPRAZOL RAN	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	118.473.438	4	a
MEDLEY	SIMETICONA MED	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A2 ANTIFISETICOS PUROS	.3.12.2.2.1.2	118.343.951	8	a
LIBBS FARMACEUTICA	MUVINLAX LIB	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A7 LAXANTES OSMOTICOS COM ELETROLITOS	.3.12.2.6.1.6	118.295.768	1	a
HYPERA PHARMA	ENGOV HYP	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	118.079.040	6	a
HYPERA PHARMA	COLFLEX MAN	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	110.910.586	14	a
BIOLAB	CLOR DE ONDANSETRONA BIO	NAO E MARCA PROPIA	A04A ANTIEMETICOS E ANTINAUSEOSOS	.3.12.2.4.1	A04A1 ANTAGONISTAS DA SEROTONINA	.3.12.2.4.1.1	109.923.607	6	a
HYPERA PHARMA	BUSCOPAN HYP	NAO E MARCA PROPIA	A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS	.3.12.2.3.1	A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS	.3.12.2.3.1.1	109.881.599	9	a
NOVARTIS	GALVUS NOV	NAO E MARCA PROPIA	A10N INIBIDOR DPP IV	.3.12.2.10.8	A10N3 INIB DPP IV E BIGUANIDAS COMB A DIABETICOS	.3.12.2.10.8.2	109.216.502	3	a
BOEHRINGER INGELHEIM	TRAYENTA BOE	NAO E MARCA PROPIA	A10N INIBIDOR DPP IV	.3.12.2.10.8	A10N1 INIBIDOR DPP IV SOLO	.3.12.2.10.8.1	108.449.761	5	a
HYPERA PHARMA	NESINA HYP	NAO E MARCA PROPIA	A10N INIBIDOR DPP IV	.3.12.2.10.8	A10N3 INIB DPP IV E BIGUANIDAS COMB A DIABETICOS	.3.12.2.10.8.2	105.521.082	2	a
HYPERA PHARMA	ONDIF MAN	NAO E MARCA PROPIA	A04A ANTIEMETICOS E ANTINAUSEOSOS	.3.12.2.4.1	A04A1 ANTAGONISTAS DA SEROTONINA	.3.12.2.4.1.1	105.515.178	2	a
PHARLAB	GLICLAZIDA PHA	NAO E MARCA PROPIA	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3.1	103.857.448	7	a
MEDLEY	PANTOPRAZOL MED	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B1 ANTAGONISTAS H2	.3.12.2.2.2.1	103.838.230	9	a
ACHE LABORATORIOS FARMACEUTICOS SA	DIGEPLUS ACH	NAO E MARCA PROPIA	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1.1	103.040.270	2	a
HEBRON	FLORAX HEB	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	102.309.260	9	a
ASPEN	MAGNESIA BISURADA ASP	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	101.217.134	3	a
NOVO NORDISK	EXTENSIOR NND	NAO E MARCA PROPIA	A10S AGONISTAS GLP 1	.3.12.2.10.10	A10S AGONISTAS GLP 1	.3.12.2.10.10.1	99.556.906	3	a
EUROFARMA	SUGANON EUR	NAO E MARCA PROPIA	A10N INIBIDOR DPP IV	.3.12.2.10.8	A10N1 INIBIDOR DPP IV SOLO	.3.12.2.10.8.1	95.906.652	2	a
NOVO NORDISK	FIASP NND	NAO E MARCA PROPIA	A10C INSULINAS HUMANAS E ANALOGAS	.3.12.2.10.1	A10C1 INSULINAS HUMANAS E ANALOGAS DE ACAO RAPIDA	.3.12.2.10.1.1	95.215.656	3	a
ACHE LABORATORIOS FARMACEUTICOS SA	COLIDIS ACH	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	94.619.289	3	a
BOEHRINGER INGELHEIM	JARDIANCE BOE	NAO E MARCA PROPIA	A10P INIBIDORES DE ANTIDIABETICOS DE SGLT2	.3.12.2.10.9	A10P3 INIBIDOR SGLT2 ANTIDIABETICOS COM BIGUANIDAS	.3.12.2.10.9.2	91.511.963	2	a
OPELLA	MOBILITY OSCAL D (OPE)	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	90.598.092	1	a
EUROFARMA	ESIO EUR	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	89.680.582	2	a
CIMED	PANTOPRAZOL CIM	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	89.576.833	4	a
RB	LUFTAGASTROPRO RB	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	89.099.814	8	a
CIMED	SIMETICONA CIM	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A2 ANTIFISETICOS PUROS	.3.12.2.2.1.2	89.077.611	2	a
MEDLEY	ESOMEPRAZOL MED	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	88.503.875	6	a
EMS PHARMA	PANTOPRAZOL EMS	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	88.329.159	7	a
ASTRAZENECA	DAPAGLIFLOZINA AZN	NAO E MARCA PROPIA	A10P INIBIDORES DE ANTIDIABETICOS DE SGLT2	.3.12.2.10.9	A10P1 INIBIDOR SGLT2 ANTIDIABETICOS SIMPLES	.3.12.2.10.9.1	86.050.099	1	a
HYPERA PHARMA	ESTOMAZIL HYP	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	84.902.014	33	a
EMS PHARMA	GLICLAZIDA EMS	NAO E MARCA PROPIA	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3.1	84.614.561	5	a
TEUTO	OMEPRAZOL TEU	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	84.348.632	3	a
OPELLA	MOBILITY OSCAL (OPE)	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	83.149.804	1	a
APSEN	LACTOSIL APS	NAO E MARCA PROPIA	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1.1	80.372.022	8	a
CASA GRANADO	GRANADO CSG	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A9 OUTRAS DROGAS PARA A CONSTIPACAO	.3.12.2.6.1.7	79.057.728	3	a
TAKEDA PHARMA	MESACOL TKD	NAO E MARCA PROPIA	A07E PRODUTOS PARA DOENCA INFLAMATORIA INTESTINAL	.3.12.2.7.3	A07E1 AMINOSALICILATOS INTESTINAIS	.3.12.2.7.3.1	78.932.430	8	a
HYPERA PHARMA	ENGOV AFTER HYP	NAO E MARCA PROPIA	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5.1	76.548.466	14	a
EUROFARMA	MINILAX EUR	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A4 ENEMAS	.3.12.2.6.1.4	76.443.580	3	a
ACHE LABORATORIOS FARMACEUTICOS SA	PANTOPRAZOL ACH	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	73.606.482	6	a
EMS PHARMA	LACDAY EMS	NAO E MARCA PROPIA	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1.1	73.229.867	6	a
EMS PHARMA	ESOMEX EMS	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	71.441.767	5	a
ACHE LABORATORIOS FARMACEUTICOS SA	DIVENA ACH	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	70.969.084	2	a
KENVUE	MYLANTA KEN	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A4 ANTIACIDOS COM ANTIFISETICOS	.3.12.2.2.1.3	70.167.974	5	a
UNIAO QUIMICA	COLACT UNI	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A6 LAXANTES OSMOTICOS	.3.12.2.6.1.5	69.728.983	3	a
MIDWAY LABS	NEO B EUR	NAO E MARCA PROPIA	A11D VITAMINA B1 E ASSOCIACOES	.3.12.2.11.4	A11D4 VITAMINA B1 ASSOC VIT B6 OU B12	.3.12.2.11.4.2	69.184.713	2	a
MOMENTA FARMA	20 BI MOM	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	68.734.172	5	a
HYPERA PHARMA	GASTROL HYP	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	68.629.683	17	a
HYPERA PHARMA	BIFILAC MAN	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	67.828.395	10	a
HYPERA PHARMA	EPAREMA HYP	NAO E MARCA PROPIA	A05A PRODUTOS PARA DISTURBIOS DO TRATO BILIAR	.3.12.2.5.1	A05A1 COLAGOGOS	.3.12.2.5.1.1	67.369.467	28	a
MERCK	JANUMET MER	NAO E MARCA PROPIA	A10N INIBIDOR DPP IV	.3.12.2.10.8	A10N3 INIB DPP IV E BIGUANIDAS COMB A DIABETICOS	.3.12.2.10.8.2	66.862.987	6	a
EMS PHARMA	LINADIB EMS	NAO E MARCA PROPIA	A10N INIBIDOR DPP IV	.3.12.2.10.8	A10N1 INIBIDOR DPP IV SOLO	.3.12.2.10.8.1	66.674.870	3	a
BAGO	TIORFAN BAG	NAO E MARCA PROPIA	A07X OUTROS PRODUTOS PARA DESORDENS INTESTINAIS	.3.12.2.7.7	A07X OUTROS PRODUTOS PARA DESORDENS INTESTINAIS	.3.12.2.7.7.1	65.727.944	3	a
ALMEIDA PRADO	COMPLEXO A ALM	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A2 LAXANTES ESTIMULANTES	.3.12.2.6.1.2	65.355.657	1	a
APSEN	MECLIN APS	NAO E MARCA PROPIA	A04A ANTIEMETICOS E ANTINAUSEOSOS	.3.12.2.4.1	A04A9 OUTROS ANTIEMETICOS E ANTINAUSEA	.3.12.2.4.1.3	65.001.689	4	a
UNIAO QUIMICA	NEOCOPAN COMPOSTO UNI	NAO E MARCA PROPIA	A03D ASSOCIACOES COM ANALGESICOS	.3.12.2.3.2	A03D ASSOCIACOES COM ANALGESICOS	.3.12.2.3.2.1	64.989.677	2	a
ASTRAZENECA	NEXIUM AZN	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	62.164.392	4	a
CELLERA FARMA	IMOSEC CEL	NAO E MARCA PROPIA	A07H INIBIDORES DA MOTILIDADE	.3.12.2.7.6	A07H INIBIDORES DA MOTILIDADE	.3.12.2.7.6.1	61.044.508	2	a
CIMED	OMEPRAZOL CIM	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B1 ANTAGONISTAS H2	.3.12.2.2.2.1	61.012.350	1	a
BIOLAB	XIFAXAN BIO	NAO E MARCA PROPIA	A07A ANTI INFECCIOSOS INTESTINAIS	.3.12.2.7.1	A07A ANTI INFECCIOSOS INTESTINAIS	.3.12.2.7.1.1	60.496.728	1	a
ZYDUS BRASIL	SILIMALON ZYD	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	58.246.676	6	a
PRATI DONADUZZI	ORLISTATE PRD	NAO E MARCA PROPIA	A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1	A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1.1	57.969.752	3	a
HYPERA PHARMA	NATURETTI HYP	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A2 LAXANTES ESTIMULANTES	.3.12.2.6.1.2	57.614.872	5	a
ACHE LABORATORIOS FARMACEUTICOS SA	PROLIVE ACH	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	57.336.140	3	a
FERRING	PICOPREP FER	NAO E MARCA PROPIA	A06B LIMPIADORES INTESTINALES	.3.12.2.6.2	A06B1 LIMPIADORES INTESTINALES OSMOTICO	.3.12.2.6.2.1	57.310.217	1	a
TORRENT	AZUKON MR TOR	NAO E MARCA PROPIA	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3.1	56.766.724	3	a
HYPERA PHARMA	NEOGERMINA NEO	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	56.765.606	4	a
EUROFARMA	DOMPERIDONA EUR	NAO E MARCA PROPIA	A03F GASTROPROCINETICOS	.3.12.2.3.4	A03F GASTROPROCINETICOS	.3.12.2.3.4.1	56.688.202	3	a
EMS PHARMA	DOMPERIDONA EMS	NAO E MARCA PROPIA	A03F GASTROPROCINETICOS	.3.12.2.3.4	A03F GASTROPROCINETICOS	.3.12.2.3.4.1	56.473.201	3	a
